"CPMN","FNAC"
41091,19810706
41091,19790911
41091,19621126
41091,19621126
41091,19480326
41091,19880601
41091,19880601
41091,19790607
14056,19340308
52001,19460125
14021,19560625
41091,19890218
41091,19820421
4013,19871106
14019,19531109
14021,19740509
41101,20010506
8019,19780313
41091,19670401
41039,19970908
41021,20060401
66341,19840715
41091,19840809
41039,20071022
66341,19520308
46250,19670904
6158,19611221
11012,19750915
4037,19580307
4028,19560111
11029,19750619
11041,19800429
11041,19671121
30027,19660605
11033,19690418
4013,19790515
11020,19880908
18087,19601012
11027,19750308
11029,19811223
11029,19791228
11029,19830130
11041,19850713
11010,19750308
18089,19641201
4013,19841224
4013,19750712
23027,19560717
41035,19831128
11012,19710416
11012,19730821
11012,19730821
4013,19781206
51001,19641224
8279,19621123
11021,19750206
11027,19210318
8274,19731102
4037,19821006
11012,19871102
11020,19560404
11012,19821228
4086,19560111
41091,19841127
4013,19840429
4013,19820708
41091,19921023
4076,20040625
18027,19460805
4031,19600121
11012,19740209
11012,19840211
4067,19610331
23017,19630731
18181,19810129
11027,19780301
11020,19230604
4902,19940715
23092,19700226
8019,19751109
11012,19820630
4003,19840512
4029,19691109
4013,19711014
18056,19260217
18159,19340317
18101,19300820
18101,19300820
18087,19820415
18087,19440208
18087,19660322
18100,19690418
18087,19630720
18087,19790108
18087,19810809
41091,19980304
23024,19250520
41091,19970622
41004,19180527
41091,19790607
11012,19800429
41091,19770525
41091,19751009
41091,20000801
41091,19670627
41091,19811128
30027,19740615
41095,19630919
41091,19671105
41091,19690809
41091,19881028
11012,19670926
14060,19861129
41025,19880905
39087,19931213
14055,19600818
66341,19830610
41091,19710809
23060,19580224
29067,20091214
41017,19430221
41091,19931230
41091,20071024
41091,20080809
41039,20010706
41039,19700901
41091,20010811
41039,20071011
41091,20080414
41091,20080414
23050,19940321
29015,20090729
29072,20070111
18181,19480117
18037,19610505
18087,19590717
4093,19830106
4093,19830106
11015,19680606
11012,19680621
11012,19740727
11031,19620326
11015,19510907
11012,19840211
11012,19840211
11012,19480512
11015,19340202
11015,19340212
11015,19230508
11012,19770714
11012,19790223
11015,19650109
11031,19840922
11012,19780104
11012,19780104
11012,19910129
11012,19910129
11038,19621106
11003,19671126
66124,19010726
66124,20010726
11015,20010526
11015,20030816
66124,20010726
14021,19710619
29067,19850615
18087,19720421
18140,19641010
11025,19480417
29049,19801022
29067,19830226
41091,19760516
21007,19350520
41091,19671117
41091,19671117
41091,19800916
41091,19800916
41091,19760308
41091,19760308
11012,19701223
11012,19701223
23075,19450120
41091,19840607
41091,19840607
41091,19760829
41091,19760829
11006,19411020
11006,19411020
41091,19740227
11012,19770711
11004,19870219
11015,19830103
11015,19511007
11031,19931013
11031,19840922
4053,19830126
18181,19480116
17160,19920803
18022,19710818
41091,20010922
41034,19430218
18132,19150829
18905,19890409
18087,19930213
18175,19700613
11006,19900315
11006,19900131
18103,19900329
21013,19920530
41091,19900329
66345,19900222
29094,19551005
21074,19911021
21043,20010919
23062,19831230
23050,19690304
23050,19820910
23050,19870831
23050,19910102
23050,19910613
23050,19930704
23050,19900107
23017,19281007
23020,19911212
23050,19960628
23050,19970308
23050,19800125
23050,19890725
23056,19920404
23056,19911124
23092,19820829
23005,19970820
23050,20001026
23050,19990321
23050,20051231
28079,19930410
29008,19910821
29015,19770619
29094,19920518
29067,19940607
29067,19810414
29015,19840309
29015,19851204
29015,19910517
29015,19920407
29015,19891030
29015,19900725
29001,19970108
29007,20061229
18137,19270908
14038,19640915
21041,19870524
41069,19900405
11038,19930610
11020,19520608
11020,19900728
18087,19830308
18158,19790129
11012,19900416
4069,19900308
11006,19961017
